A,B,C,D,E,F,G 
good love dark more annoy hell more time blue god more game like health more too like world option part time not broken never good most annoy time time time like more like face more progress world more watch progress love love cash option art home window broken cash love nice broken not time suck home black corner nice nice cash hope life not,0.5767652173913044,0.3587565217391304,0.37821739130434767,0.3805304347826086,0.3149521739130434,?
good dark,0.623,0.28099999999999997,0.33099999999999996,0.42799999999999994,0.23899999999999996,?
computer more,0.538,0.368,0.258,0.286,0.284,?
hell,0.22999999999999998,0.646,0.658,0.772,0.5519999999999999,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
more,0,0,0,0,0,?
very time,0.207,0.178,0.195,0.21600000000000003,0.132,?
blue,0.53,0.288,0.5519999999999999,0.284,0.256,?
computer more,0.538,0.368,0.258,0.286,0.284,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
little beauty,0.11600000000000002,0.71,0.7060000000000001,0.7220000000000001,0.744,?
like,0,0,0,0,0,?
health more,0.8460000000000001,0.33399999999999996,0.376,0.446,0.294,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
too like,0,0,0,0,0,?
world,0.5860000000000001,0.32,0.366,0.352,0.308,?
option,0.5780000000000001,0.264,0.238,0.314,0.21600000000000003,?
very time,0.207,0.178,0.195,0.21600000000000003,0.132,?
not,0,0,0,0,0,?
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997,?
never,0,0,0,0,0,?
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,?
most,0,0,0,0,0,?
very time,0.207,0.178,0.195,0.21600000000000003,0.132,?
very time,0.207,0.178,0.195,0.21600000000000003,0.132,?
very time,0.207,0.178,0.195,0.21600000000000003,0.132,?
like,0,0,0,0,0,?
more like,0,0,0,0,0,?
any,0,0,0,0,0,?
quite,0,0,0,0,0,?
privacy,0.618,0.304,0.288,0.316,0.23199999999999998,?
face,0.624,0.368,0.4,0.372,0.348,?
computer,0.538,0.368,0.258,0.286,0.284,?
quite,0,0,0,0,0,?
more,0,0,0,0,0,?
progress news,0.576,0.321,0.35700000000000004,0.374,0.315,?
world,0.5860000000000001,0.32,0.366,0.352,0.308,?
more watch,0.2,0.125,0.13799999999999998,0.142,0.129,?
progress news,0.576,0.321,0.35700000000000004,0.374,0.315,?
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,?
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,?
cash,0.826,0.32,0.31,0.32799999999999996,0.32,?
art,0.686,0.348,0.376,0.314,0.32799999999999996,?
home window,0.633,0.259,0.308,0.256,0.23399999999999999,?
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997,?
cash,0.826,0.32,0.31,0.32799999999999996,0.32,?
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003,?
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997,?
not,0,0,0,0,0,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
home black,0.5469999999999999,0.41600000000000004,0.477,0.42400000000000004,0.32999999999999996,?
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003,?
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003,?
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,?
cash,0.826,0.32,0.31,0.32799999999999996,0.32,?
life,0.9119999999999999,0.356,0.4,0.404,0.272,?
not,0,0,0,0,0,?
