A,B,C,D,E,F,G 
news trust more idea news trust casino free time free custom news trust custom more idea more idea detail not more idea space free free time space beast book delight market red free free music hope music art museum market detail free window news free game music hope music win win too power free time unit unit learn option unit quick time game swift most learn power game game part taxi taxi free time field good wonder like good wonder like good wonder like good wonder like good wonder like good wonder like good wonder like good wonder like time market most world win game beast book game tool time life key friend game game more idea game game news trust swift news trust more idea more idea swift love market market market opinion market market market market most world market market market column watch time time metal hell hit disappoint fall fall hell hell market hell win win too power game hell win win too power much water green safe world free swift market time free month corner watch time swift swift love quick watch time watch time market win too power sun hell news free game cute proud writer window month time much water green custom much water green hell news market habit much water green habit habit earth plant opinion swift much water green earth plant much water green opinion swift swift swift swift game swift market swift swift swift news trust swift swift watch time watch time more game crash watch time watch time too hell free space month free friend market free name news news python python python window sin watch free fire free time window window fall watch window hit learn book window window window good wonder news gold progress most gold success success attract success success attract market success success attract umbrella unit air lion home win watch success free learn vest learn hit home delight news trust python crash swift tool delight tool person watch swift umbrella wish tool news trust more detail tool tool watch swift custom not not news trust market umbrella world news trust time time hope world brave news trust free time python news free game python python python python python news trust news trust delight passion news trust column swift news trust news trust news trust free python radio hell market python python grass hell delight hell hide python python python mind time hand heart time news trust progress most progress most market friend time delight market answer dark win too power delight good free like cash free cash cash free cash mail time progress most market good more detail health street hell nice free hell travel earth song hell learn learn learn learn learn hell hell sleep save hell more detail hell free not sleep save part jewel win news free game delight hell market news trust good market news trust hell star radio truth game hope friend news trust hell free game market answer news trust news delight more news trust news trust custom child hell quiet book book hit home more more more more more book hell market trunk news present present swift most custom progress most hell hit hell present metal too most free present metal time time time time progress most more red green idea news news trust news trust news trust free time free time time free time time time time time time time time progress most time time progress most month time custom custom water hell not respect casino answer answer free free time swift most most answer market news more detail news thought news answer delight learn hell free time friend delight cash hell game detail game hell hit clock more hell delight song heart free free time song heart free hell radio song heart free month free more detail tool game hell learn swift beast book hat learn hell trunk hell market delight success success attract news free game radio hell learn learn hell learn delight friend delight friend love wish wish hell invest good hell hell news free game girl love hell more detail learn python delight hell delight not money good hell trunk delight more detail hell hit hell beast book more detail safe strong spring street more free like free detail sun hell beast book star delight delight delight news free game delight crime hell news free game friend learn python learn python star learn python learn python learn python learn python month save space free free good hell much enjoy news free game relax space ship talent tree event enjoy free beast book free game dove vision water love tool tool vision hell vision free king heaven hell hit heaven hell love free hell friend news free game not love hell more friend friend hell swift not not free,0.5541660220994468,0.3233508287292822,0.32785303867403315,0.36484972375690583,0.2888345303867408,?
news couple trust,0.6866666666666668,0.338,0.37466666666666665,0.39,0.31133333333333335,?
more idea,0.306,0.132,0.133,0.132,0.121,?
news couple trust,0.6866666666666668,0.338,0.37466666666666665,0.39,0.31133333333333335,?
casino,0.618,0.32999999999999996,0.324,0.33599999999999997,0.29,?
advantage,0.6759999999999999,0.294,0.252,0.264,0.248,?
free time,0.643,0.293,0.30999999999999994,0.34900000000000003,0.24100000000000002,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
news couple trust,0.6866666666666668,0.338,0.37466666666666665,0.39,0.31133333333333335,?
more idea,0.306,0.132,0.133,0.132,0.121,?
