A,B,C,D,E,F,G 
like like like key present present father like swift free hammer free key key wonder most not hammer free free more like free more more like free less detail detail free board father like father like option custom custom weapon quick less custom more answer learn tool learn more free custom journal like python learn market market tool learn learn not part tree game tree game present key swift more not win much man time never time never interest music favor learn learn love hate hate free more like more like more like free more love hate hate food present flag music board learn safe music panic dump panic dump board learn learn respect freedom learn not not nice respect freedom coin favor interest interest interest writer writer writer woman writer free writer writer writer sleep dump love hate hate learn more board interest tool learn tool learn free free coin coin interest learn lamp interest not not coin coin learn learn learn book learn market learn learn learn learn lamp python interest respect freedom tool learn python learn market market learn spring dog not not not hand free learn lamp tool learn good tool good most not most not tool learn tool learn tool learn tool learn learn lamp tool learn tool learn tool learn learn tool learn tool learn tool learn tool learn tool learn hell too not python proud interest learn market coin music tool market music music swift interest letter learn learn custom learn learn learn learn good good coin sleep runner fish coin free more learn market part part market market market learn market learn not learn market learn market market market market never learn learn market learn market learn market learn market learn interest learn market learn market learn market learn market interest tool time like learn fear present flag book time time free cancer person red tool time learn journal like learn most power journal python python python tool tool tool fear fear like learn fear fear fear fear fear interest like answer flag phase learn lamp answer learn lamp learn god man not good hate hate much interest key free interest python book key book book respect freedom sleep present like learn more part python quick learn more money journal cliff cow like learn nice like learn board like learn python like python most power tool like learn free tool python most power not python part python part python learn lamp like like part python python python python learn learn writer like part love kind music enjoy free writer writer python free kind music enjoy part love love python time more python python love time more python python python python time more spirit learn lamp most power time most power like like like python quick like python quick most power like python quick python quick custom like learn learn most learn pain spring radio learn journal like like like like like time time broken lamp free time board love hate hate lamp learn good hate hate much less option lamp safe good hate hate much time window like life good hate hate much good hate hate much journal present journal free free dream free python like present free free free free free python part more world safe context nice love hate hate time game vision vision board love hate hate vision vision board more arm more swift learn learn swift tune tune bomb tune tune free tune leader like world flag phase journal free journal not journal dead free too good love journal more arm power free idea power game power board board not arm clock arm clock arm clock journal arm context method rock journal arm too good love journal journal much hard journal hope enjoy safe learn not journal journal journal journal loser journal journal hope watch journal journal journal journal journal free more smile life more smile life free event not like not like free life free more fun part event hell too time python free context method tool board more python python column arm success more free python free free part context method life life python free free free window more free free free more red green not red green not car life game book good not free arm window wine flower learn learn not respect freedom arm free tool respect freedom hit lamp time context method respect freedom free never game music music music learn health part more respect freedom arm tool time arm not not part wonder book respect freedom swift swift too much swift swift respect freedom swift python respect freedom coin coin coin respect freedom coin hell too like never context hell too hell not learn space learn context method free space tool spirit learn flower arm arm arm arm hard health book context method free free free part free key python arm wonder health not free free wonder python book arm wonder present not not game not free free free time time flower free key more runner fish free more python book too much game mad space writer writer writer writer free writer free free writer free kind music enjoy part love book not python book game mad game mad vision vision board love python present delight arm hard arm delight python free arm not quiet space space space time item life arm arm arm more detail python tool time health not fault power fault not name free more not more more hope watch learn window field arm hard learn tree tree lost less less lost slow sleep like good much more context window game mail delight tower tower destroy game mad impress tool game home love mail tool wonder nice life life life game time impress never profit letter radio crash most power most power tool part like hand spring free hope watch spring red hat part like hand more more win month free not part like hand time time success window tool answer most power learn safe tool storm month spring learn free man hat free good free good good good most tool like custom time more woman most power most power most power most power most power most power most power python legend python learn window tool much freedom spring spring game alert less option life lamp alert truck truck free space god game free coin free space window window tool time knife knife more more farm key tool field love window safe method more good window safe talent more mind present window safe safe book market less market not door life game tool window paint good game horror tool life game method not door most not most most cold war cold war window game free proud more more time game nice heart iron window game iron window game game window game more more loser not part window knife custom more wish window dead wish time swift music music music nice window music music music nice friend not much like hat god window music hit more free music custom custom like more custom not more watch father like nice father like sun sun more most game more love more more taxi more tool time more more more travel much world storm month life yellow life free nice pillow learn pillow game game moment person love knife hotel life impress nice nice game horror nice part more lost home more key market knife hotel life hotel life present beast hotel life nice nice nice hotel life nice nice tool like evil evil less option game time swift more much wise python panic python good more like free most answer more love hate hate answer much learn good learn leader name learn learn part love kind music enjoy writer writer learn writer learn learn learn more more safe key tool time tool time brutal much more more much more more more love hate hate more more not more health home more life game more game more free learn cold war cold war free leader cold war cold war cold war cold war cold war cold war love hate hate love hate hate key leader game bullet game game key not window game more watch knife most free bullet bullet unit more tree tree red hat leader game game safe context free present wonder leader wonder good more watch safe context not not leader green home green good time more interest much much not cat more watch never not love free free name python hand most unit knife not time time time leader leader part more python radio safe context safe context,0.5453218831734958,0.33030915431560687,0.3260249346120319,0.35729503051438544,0.29018796861377466,?
like easy,0.6272,0.17760000000000004,0.184,0.19039999999999999,0.17440000000000003,?
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997,?
like easy,0.6272,0.17760000000000004,0.184,0.19039999999999999,0.17440000000000003,?
like easy,0.6272,0.17760000000000004,0.184,0.19039999999999999,0.17440000000000003,?
key,0.422,0.266,0.244,0.25,0.22599999999999998,?
present,0.8099999999999999,0.252,0.27,0.272,0.22400000000000003,?
present,0.8099999999999999,0.252,0.27,0.272,0.22400000000000003,?
like,0,0,0,0,0,?
swift,0.40800000000000003,0.244,0.236,0.25,0.21600000000000003,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
hammer free,0.567,0.297,0.24299999999999997,0.29300000000000004,0.23200000000000004,?
key,0.422,0.266,0.244,0.25,0.22599999999999998,?
key,0.422,0.266,0.244,0.25,0.22599999999999998,?
wonder,0.644,0.242,0.27599999999999997,0.32,0.238,?
most not,0,0,0,0,0,?
hammer free,0.567,0.297,0.24299999999999997,0.29300000000000004,0.23200000000000004,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
more like,0,0,0,0,0,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
more history,0.2,0.15,0.17099999999999999,0.154,0.153,?
more like,0,0,0,0,0,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
less secure,0.18800000000000008,0.774,0.742,0.6980000000000001,0.772,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
like,0,0,0,0,0,?
like,0,0,0,0,0,?
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,?
option,0.5780000000000001,0.264,0.238,0.314,0.21600000000000003,?
weapon,0.254,0.632,0.532,0.796,0.484,?
less,0,0,0,0,0,?
more,0,0,0,0,0,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
any answer,0.53,0.716,0.73,0.7,0.7779999999999999,?
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,?
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,?
tool machine,0.343,0.302,0.259,0.317,0.262,?
more history,0.2,0.15,0.17099999999999999,0.154,0.153,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
like,0,0,0,0,0,?
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
tool machine,0.343,0.302,0.259,0.317,0.262,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
not,0,0,0,0,0,?
part,0.316,0.256,0.298,0.274,0.252,?
tree game,0.611,0.301,0.273,0.26399999999999996,0.22599999999999998,?
tree game,0.611,0.301,0.273,0.26399999999999996,0.22599999999999998,?
present,0.8099999999999999,0.252,0.27,0.272,0.22400000000000003,?
key,0.422,0.266,0.244,0.25,0.22599999999999998,?
computer,0.538,0.368,0.258,0.286,0.284,?
swift,0.40800000000000003,0.244,0.236,0.25,0.21600000000000003,?
complete,0,0,0,0,0,?
more,0,0,0,0,0,?
not,0,0,0,0,0,?
much,0,0,0,0,0,?
complete,0,0,0,0,0,?
machine man,0.5189999999999999,0.367,0.319,0.362,0.309,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
never,0,0,0,0,0,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
never,0,0,0,0,0,?
music,0.852,0.32599999999999996,0.358,0.264,0.244,?
favor,0.632,0.26,0.22799999999999998,0.25,0.258,?
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
love hate hate,0.5740000000000001,0.576,0.54,0.523,0.42400000000000004,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
more like,0,0,0,0,0,?
more like,0,0,0,0,0,?
more like,0,0,0,0,0,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
more,0,0,0,0,0,?
love hate hate,0.5740000000000001,0.576,0.54,0.523,0.42400000000000004,?
present,0.8099999999999999,0.252,0.27,0.272,0.22400000000000003,?
music,0.852,0.32599999999999996,0.358,0.264,0.244,?
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,?
music,0.852,0.32599999999999996,0.358,0.264,0.244,?
panic,0.24,0.46799999999999997,0.508,0.792,0.33599999999999997,?
panic,0.24,0.46799999999999997,0.508,0.792,0.33599999999999997,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
freedom,0.884,0.256,0.286,0.33799999999999997,0.22999999999999998,?
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,?
not not,0,0,0,0,0,?
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003,?
freedom,0.884,0.256,0.286,0.33799999999999997,0.22999999999999998,?
coin any,0.44800000000000006,0.24,0.22799999999999998,0.22400000000000003,0.24,?
favor,0.632,0.26,0.22799999999999998,0.25,0.258,?
very,0,0,0,0,0,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
woman,0.712,0.344,0.364,0.352,0.268,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
writer,0.53,0.32999999999999996,0.39,0.316,0.286,?
love hate hate,0.5740000000000001,0.576,0.54,0.523,0.42400000000000004,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
more history,0.2,0.15,0.17099999999999999,0.154,0.153,?
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997,?
tool machine,0.343,0.302,0.259,0.317,0.262,?
tool machine,0.343,0.302,0.259,0.317,0.262,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997,?
coin any,0.44800000000000006,0.24,0.22799999999999998,0.22400000000000003,0.24,?
coin any,0.44800000000000006,0.24,0.22799999999999998,0.22400000000000003,0.24,?
learn lamp,0.529,0.28200000000000003,0.267,0.28099999999999997,0.22300000000000003,?
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997,?
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997,?
not,0,0,0,0,0,?
not,0,0,0,0,0,?
coin coin,0.44800000000000006,0.24,0.22799999999999998,0.22400000000000003,0.24,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
book knowledge,0.643,0.317,0.31799999999999995,0.314,0.29500000000000004,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
learn lamp,0.529,0.28200000000000003,0.267,0.28099999999999997,0.22300000000000003,?
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,?
freedom,0.884,0.256,0.286,0.33799999999999997,0.22999999999999998,?
hospital,0.288,0.358,0.6639999999999999,0.662,0.398,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,?
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,?
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,?
history any,0.4,0.3,0.34199999999999997,0.308,0.306,?
spring,0.874,0.236,0.246,0.236,0.242,?
not not,0,0,0,0,0,?
not hand,0.6140000000000001,0.748,0.754,0.754,0.764,?
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,?
learn lamp,0.529,0.28200000000000003,0.267,0.28099999999999997,0.22300000000000003,?
tool machine,0.343,0.302,0.259,0.317,0.262,?
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,?
tool,0.316,0.266,0.242,0.27,0.246,?
