A,B,C,D,E,F,G 
window window not not like life like life time hit hit time time name trash tool like more part more not man face good most swift dark market good good not love dark dark dark nice free good dark good hope banner mail home not not slap like world never love dark fall like home not more watch crash not crash dark dark time crash space field home much not like hope music more dark time crash success music not more glass context much hope quick music quick quick more not song home more success more more black hope crash,0.5034514285714284,0.3427371428571427,0.3665285714285715,0.3921285714285711,0.31633714285714276,?
not,0,0,0,0,0,?
not,0,0,0,0,0,?
like life,0.7295999999999999,0.28480000000000005,0.32,0.32320000000000004,0.21760000000000002,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
like life,0.7295999999999999,0.28480000000000005,0.32,0.32320000000000004,0.21760000000000002,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
hit,0.312,0.646,0.506,0.5559999999999999,0.45599999999999996,?
hit,0.312,0.646,0.506,0.5559999999999999,0.45599999999999996,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
name,0.508,0.298,0.27799999999999997,0.264,0.252,?
trash,0.24,0.4,0.316,0.31,0.724,?
tool,0.316,0.266,0.242,0.27,0.246,?
like more,0,0,0,0,0,?
part more,0.316,0.256,0.298,0.274,0.252,?
any,0,0,0,0,0,?
not,0,0,0,0,0,?
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997,?
face,0.624,0.368,0.4,0.372,0.348,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,?
most,0,0,0,0,0,?
swift,0.40800000000000003,0.244,0.236,0.25,0.21600000000000003,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
market good good,0.7313333333333333,0.252,0.24466666666666667,0.26,0.2433333333333333,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
dark nice chance,0.6033333333333334,0.2846666666666666,0.33266666666666667,0.43066666666666664,0.2513333333333333,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,?
free computer,0.7050000000000001,0.29900000000000004,0.244,0.27599999999999997,0.251,?
good dark good,0.7100000000000001,0.2653333333333333,0.29666666666666663,0.36599999999999994,0.23466666666666663,?
hope banner,0.6290000000000001,0.24000000000000005,0.262,0.259,0.24100000000000002,?
mail,0.708,0.27599999999999997,0.27,0.284,0.23399999999999999,?
home,0.82,0.284,0.346,0.264,0.244,?
not not,0,0,0,0,0,?
like world,0.46880000000000005,0.25600000000000006,0.29280000000000006,0.2816,0.24640000000000004,?
never,0,0,0,0,0,?
love dark fall,0.6113333333333333,0.3233333333333333,0.38866666666666666,0.45533333333333326,0.24866666666666667,?
like,0,0,0,0,0,?
home,0.82,0.284,0.346,0.264,0.244,?
not quite,0,0,0,0,0,?
more watch,0.2,0.125,0.13799999999999998,0.142,0.129,?
not,0,0,0,0,0,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
field,0.48,0.244,0.252,0.266,0.22599999999999998,?
home happy,0.8779999999999999,0.25,0.29,0.24300000000000002,0.23200000000000004,?
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,?
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236,?
much,0,0,0,0,0,?
not,0,0,0,0,0,?
like,0,0,0,0,0,?
music,0.852,0.32599999999999996,0.358,0.264,0.244,?
more,0,0,0,0,0,?
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236,?
dark,0.362,0.32799999999999996,0.434,0.614,0.252,?
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236,?
time,0.414,0.356,0.39,0.43200000000000005,0.264,?
happy music,0.8939999999999999,0.271,0.296,0.24300000000000002,0.23200000000000004,?
not,0,0,0,0,0,?
more glass,0.189,0.136,0.141,0.184,0.11699999999999999,?
context much,0.27799999999999997,0.252,0.24,0.244,0.22599999999999998,?
hope,0.8140000000000001,0.22000000000000003,0.27,0.264,0.22000000000000003,?
quick,0.506,0.266,0.262,0.282,0.22799999999999998,?
quite,0,0,0,0,0,?
happy music,0.8939999999999999,0.271,0.296,0.24300000000000002,0.23200000000000004,?
quick,0.506,0.266,0.262,0.282,0.22799999999999998,?
quick,0.506,0.266,0.262,0.282,0.22799999999999998,?
more,0,0,0,0,0,?
not,0,0,0,0,0,?
any,0,0,0,0,0,?
song home,0.8149999999999998,0.315,0.388,0.275,0.253,?
more,0,0,0,0,0,?
more,0,0,0,0,0,?
more black hope,0.4755000000000001,0.24700000000000003,0.28700000000000003,0.278,0.21400000000000002,?
